canonicalId,name,description,module,path
"ds-ad-adr","ds-ad-adr","ADR — Architecture Decision Record (Context/Decision/Consequences/Alternatives). Any archetype when a load-bearing technical contract is locked in Solidify.","operators.sol","agents/operators/sol/skills/ad-adr/SKILL.md"
"ds-operator-bran","ds-operator-bran","Builder operator for FLOW's right-body phase. Use when the user types //build or pastes a handoff from Sol.","operators","agents/operators/bran/SKILL.md"
"ds-cr-contract-readout","ds-cr-contract-readout","Contract Readout — restate the locked shape + AC + flagged ambiguities. Non-negotiable on every Build entry, every archetype.","operators.bran","agents/operators/bran/skills/cr-contract-readout/SKILL.md"
"ds-sl-slice-plan","ds-sl-slice-plan","Slice Plan — ordered vertical slices with the AC each satisfies. Tuna/Salmon/Willy. Refuses horizontal-layer plans.","operators.bran","agents/operators/bran/skills/sl-slice-plan/SKILL.md"
"ds-ge-generate-code","ds-ge-generate-code","Generate Code — diff-first edits scoped to the current slice; smallest change that satisfies the contract. Refuses ambiguous AC and out-of-scope adds.","operators.bran","agents/operators/bran/skills/ge-generate-code/SKILL.md"
"ds-te-tests","ds-te-tests","Tests — golden path + locked edge cases. Mirrors repo's test framework. Refuses to defer tests to Ship.","operators.bran","agents/operators/bran/skills/te-tests/SKILL.md"
"ds-uv-ui-verify","ds-uv-ui-verify","UI Verify — run dev server, walk golden path + edge cases in browser, regression scan. Required for Tuna/Salmon/Willy UI work.","operators.bran","agents/operators/bran/skills/uv-ui-verify/SKILL.md"
"ds-in-instrumentation","ds-in-instrumentation","Instrumentation — wire MP-named events, smoke-test each fires. Required for Salmon and Willy. Refuses to invent events not in MP.","operators.bran","agents/operators/bran/skills/in-instrumentation/SKILL.md"
"ds-pr-pr-draft","ds-pr-pr-draft","PR Draft — body, test plan, screenshots, AC checklist (drafted only, never opened). Tuna and Willy required; Salmon optional.","operators.bran","agents/operators/bran/skills/pr-pr-draft/SKILL.md"
"ds-operator-may","ds-operator-may","Shipper operator for FLOW's tail phase. Use when the user types //ship or pastes a handoff from Bran.","operators","agents/operators/may/SKILL.md"
"ds-re-release-readout","ds-re-release-readout","Release Readout — scan Bran's handoff for red flags before any commit/push/tag. Clean → continue. Red flag → HB to Bran.","operators.may","agents/operators/may/skills/re-release-readout/SKILL.md"
"ds-cm-commit-message","ds-cm-commit-message","Commit Message — Conventional Commits prefix, ≤72-char subject, why-first body, AC + card_id refs, co-author trailer. Per-action confirmation before commit.","operators.may","agents/operators/may/skills/cm-commit-message/SKILL.md"
"ds-ch-changelog","ds-ch-changelog","Changelog Entry — audience-appropriate (customer / engineering). Refuses feature-listed; rewrites as journey/benefit.","operators.may","agents/operators/may/skills/ch-changelog/SKILL.md"
"ds-rn-release-notes","ds-rn-release-notes","Release Notes — journey-structured (what you can do now / why / known limits / measurement). Tuna and Willy. Drafted only.","operators.may","agents/operators/may/skills/rn-release-notes/SKILL.md"
"ds-tg-tag-version","ds-tg-tag-version","Tag / Version — semver bump + annotated tag. Tuna and Willy. Per-action confirm. Refuses force-overwrite.","operators.may","agents/operators/may/skills/tg-tag-version/SKILL.md"
"ds-ms-measurement-setup","ds-ms-measurement-setup","Measurement Setup — capture pre-release baseline. Salmon and Willy. Required before commit. Refuses if MP didn't name a metric.","operators.may","agents/operators/may/skills/ms-measurement-setup/SKILL.md"
"ds-mr-measurement-readout","ds-mr-measurement-readout","Measurement Readout — re-query post-release, compute delta vs baseline, hit/miss verdict, learning log. Salmon and Willy. Refuses wishful interpretation.","operators.may","agents/operators/may/skills/mr-measurement-readout/SKILL.md"
"ds-rp-retrospective","ds-rp-retrospective","Retrospective — post-GA review structured around Process / Shape / Methods / Collaboration. Willy-only.","operators.may","agents/operators/may/skills/rp-retrospective/SKILL.md"
"ds-tr-trust-receipt","ds-tr-trust-receipt","Trust Receipt — signed audit-grade summary of what shipped. EVERY release, EVERY archetype. Non-negotiable per shipper.md §7.","operators.may","agents/operators/may/skills/tr-trust-receipt/SKILL.md"
"ds-nl-next-loop","ds-nl-next-loop","Next-Loop Queue — Ship → Explore handoff that queues the next iteration with learnings (locked) + surprises (open).","operators.may","agents/operators/may/skills/nl-next-loop/SKILL.md"
"ds-handoff-compose","ds-handoff-compose","Emit a <FLOW-handoff> block — schema-validated phase transition. Called by every operator's HO capability.","helpers","agents/helpers/handoff-compose/SKILL.md"
"ds-handback-compose","ds-handback-compose","Emit a reverse <FLOW-handoff> — phase rewind with a specific reason. Called by every operator's HB capability.","helpers","agents/helpers/handback-compose/SKILL.md"
